time,number of documents,Nivo,patients,Opdivo,TL,pembro,RTL,therapy,dose,nivolumab,BMS,lung,NSCLC,1L,PDL1,toxicity,trial,efficacy,regimen,treated,NTL,discussed,melanoma,shared,commented,RCC,TL stated,combination,chemo,tumor,2L,pts,IO,agents,Merck,institution,Ipi,stated,PD-L1,approval,OS,atezo,physicians,preferred,PD-L1 testing,testing,monotherapy,treatment,regards,using nivo,response,data,combo,expressed,mentioned,clinical trials,PDL1 testing,indication,PFS,AI,NSCLC patients,PD1,oncology,ORR,approved,SCCHN,HCP,cHL,lung cancer,nivo and pembro,progression,ASCO,believes,chemotherapy,impressed,tumor types,vs,label,oncologist,indicated,LTL,respond,drug,Keytruda,TLs,clinical,academic,SCLC,feels,assay,immunotherapy,PD-1,Regional TL,RTL stated,TL shared,PDL1 expression,option,biomarker,NCCN,bladder,flat dosing
january,15,0.357599599605,0.544903699472,0.129544475294,0.0359516225678,0.0,-0.24800960427,0.206265519994,0.242879796641,0.341596255742,-0.510338184156,0.197119657602,0.0,0.47938661396,0.0,0.185931746555,-0.362133914531,0.373328777391,0.503616266263,0.162319511959,0.0,-0.0190700263367,0.461411523687,0.236307436162,0.0749516971914,0.480330527209,0.0,0.0918829011653,0.163287894711,0.18757725935,-0.0697142427283,0.0803398696356,0.041498345319,0.495429330156,0.0550190529592,0.0120852605867,0.447141939545,-0.49030223074,0.494113873442,-0.502906803275,-0.0960684481543,0.0,0.456417795057,0.500999373655,0.0,0.520566043068,0.0,0.496272463189,0.0489758212236,0.0,0.240625022779,-0.0937472709959,0.454710639672,-0.469056009109,0.0413058257196,0.0,0.0,0.12126860782,0.0114637348374,0.112074562647,0.0,0.0,-0.460913305217,-0.0899904747377,-0.0074958418884,0.0,0.266403224327,-0.0337832596929,0.0,0.0,0.124252570793,0.0417884023394,0.0371729537301,0.168616009193,-0.0864808562367,0.0,-0.50104053185,0.375105814325,0.122573486413,0.00385552349035,-0.102810917791,0.0807455392516,0.169421816361,0.0,0.0,0.471552775071,0.00523392769974,0.0,-0.181920064388,0.173359660816,0.514425607456,0.483626961805,0.0,0.0,0.0,0.0,0.0407865595111,0.162520283226,0.0,0.186139293188,0.0
february,117,-0.0152256905947,0.193755468279,0.0752124658783,0.0850384292602,-0.0273230232661,0.207984230251,0.13981167338,0.0802969236796,0.225669964661,-0.0870214715223,0.133167307235,0.1053868417,0.213030337544,0.195403573053,0.119724822356,-0.0171926675056,0.158290922127,0.213626297914,0.191129357385,-0.0287900417262,0.138753959081,0.149082548348,0.0340553076714,0.0298131639698,0.202249805684,0.147808752865,0.0356280349753,0.112181357854,-0.196649109968,0.152137654102,-0.00788748368166,-0.00496966722267,0.038164444626,-0.0748418879406,0.110285298132,0.115183153447,0.139160250677,0.144596572884,-0.0296325596029,0.0349108335792,0.0,0.0916166305977,0.277024067088,0.0,0.107460776495,0.152893101395,0.105701171425,0.0538824473103,0.0,0.0190976793352,0.0209808701263,0.209100076685,-0.0849270353514,0.115633040702,0.0693059094844,0.110947823643,0.229211499464,0.123098765763,0.14256771546,0.190096809478,0.0317186954574,0.0626149034059,-0.151323225282,0.230942770357,0.152492296098,0.0239147071818,-0.0604266908811,0.146999253353,0.1304118484,0.122541786723,0.0832589380941,0.0868391735859,0.0529044803093,0.00953924500918,-0.141065001848,0.135922164609,-0.0338796769151,0.106540482166,-0.0158937194023,-0.0602949332917,0.219798814966,0.100250430258,0.13932298372,0.0911527141756,0.208119152812,0.123063581508,0.0,0.085570418301,0.100302025364,-0.0467382760626,0.216052675888,0.140881846259,0.0,0.203043233375,0.0,0.221939773875,0.12981402256,0.0436797485464,0.209226398099,0.0
march,177,0.202594636969,0.267658407825,-0.154222553039,-0.0785783035179,0.209110595289,0.0223013419116,0.28273798388,-0.0103744904201,0.136934283129,-0.0507286662153,-0.0797392729583,0.213569310458,0.254438305829,0.169888168448,0.188953230056,0.148403445755,0.116691491594,0.199004649819,0.127596236443,0.0256833699721,0.0623983925004,0.0651075360632,-0.0470886896226,-0.105616019632,-0.0775582209152,0.236988594536,0.0546668586749,0.199349800166,-0.0523490627299,0.257250270624,-0.00932404220867,0.155362129444,0.104230332329,0.0459166332016,-0.0820346990224,0.118027723491,-0.113936849462,0.22159011719,-0.14499563251,0.0868323390114,0.0,0.0641245702863,0.201324252304,0.179310110473,0.112220504684,0.166111174196,0.206887474633,0.105426796025,0.0,0.113366207912,0.105309021029,0.219424167542,0.0683203993379,0.0522408919873,0.226377442383,0.143587974922,0.0275591271615,0.00948543936418,-0.199249957704,0.175077187791,0.20356843497,-0.170986518746,0.0616975538569,-0.14751143174,0.184420621436,-0.031987908767,-0.0313728954604,0.0,0.234885258969,0.165566775164,-0.100592549336,0.122488980428,0.0811563939666,0.161217138892,0.0191422240311,0.194415999979,0.0955208155695,-0.0358801256081,-0.0257903317956,0.0237009293638,0.265830172809,-0.0487355104001,-0.204272160653,0.0345045146767,0.201615648225,0.194128111748,0.081632275757,0.137845578682,0.0442250889953,0.0692938855592,0.180854849581,0.0353390605322,0.120436164711,0.188684089813,0.0160832537824,0.196422637736,-0.0758417036843,-0.162370345638,-0.0757118277821,0.0
april,142,0.0726695874994,0.197894443839,-0.0095600562107,-0.0380994370701,0.116972043364,0.0462346545462,0.0761603303998,-0.0546083193652,-0.0547137682842,-0.0750089016106,0.116681650874,-0.122579492804,-0.0439501380532,-0.0237183619764,0.0441559943757,0.0905319801673,0.142923834573,-0.0211990490262,0.120048252396,0.0269301222761,-0.0523261771522,0.0478319935722,-0.00272679242345,-0.04498016818,-0.0874365193505,-0.0401673734704,0.164442758355,0.0783757542608,-0.0288124294383,-0.137956598185,0.042286700859,0.0263688490579,0.135039510155,0.0794368753864,0.11383053014,-0.00066880716038,0.132396668695,-0.0534239715469,0.00167803110126,0.0885715296174,-0.000205970831866,-0.0969186727245,-0.0427538621115,-0.0157739226682,0.0103606674576,0.0221044194166,0.0335139234408,-0.0740802844989,0.0786541961703,0.158420370564,-0.0401772327658,0.0186388418462,0.000420415512053,0.00383959815126,0.0878438945717,-0.00486406150973,0.108058753367,0.100590020343,-0.0625626399048,-0.0811446363314,0.030983761174,-0.00184982418463,-0.132512921114,-0.0499683328334,0.0624511421455,0.0730395601563,0.0793427836965,0.0,-0.00864881269071,0.0885131953743,-0.0185210436308,0.0822397998659,0.145615629515,0.0672279861485,-0.0937655972974,0.0656839001714,0.169511389681,0.0729206016041,0.158121570198,-0.0584693263366,0.122639389346,0.0998975118054,0.027748104035,0.0,0.0801670444573,0.0620998274135,0.139476057102,0.12997743959,0.027687537712,0.0424013640857,-0.0891232008957,-0.0167292804003,0.0,0.0459889871889,0.0,-0.00380215022084,-0.0336588679966,0.0342857587374,0.0583298725001,0.0
may,172,-0.0264869402552,0.172954258541,0.172210232175,0.0391806985782,0.000698890138538,0.0305450574573,0.119990939407,-0.0454827538134,-0.0476256419797,-0.0971008379034,0.0375314716523,-0.0578937802148,0.0934088564102,0.013425934173,0.111583998961,-0.0670843591879,0.10259175484,0.13181410789,0.130372515189,0.0183656284672,-0.108057299709,0.112593145339,-0.0727482772732,-0.0690404868281,0.0653575266995,-0.0083458129055,0.133739268824,0.109487610333,-0.0423046256482,0.00177740559796,0.0346733152932,0.0875313330349,-0.0279052789933,-0.0622037473269,-0.0739840806977,0.0953990366813,-0.0139762071577,0.00359644201164,-0.0288470799197,0.0338185469124,-0.0119272755207,-0.00026122425249,0.0799302074398,-0.0756532239526,0.00605823397217,0.137548608948,0.0943846448895,-0.0317062335414,-0.0465760893912,0.0417997876868,-0.0103610139491,0.0963798939921,0.13061398306,0.0223607714521,0.0997444240491,-0.0655085343184,-0.044102486704,0.0522255170248,-0.0576806146297,0.0248327210758,-0.0449175480215,-0.07727220556,-0.0175304584826,0.0851747212127,-0.0656093731944,0.0564787173139,0.0365963995529,-0.0732289710912,0.022992489669,0.0665120525006,-0.0562279407576,0.120343284133,0.0956617158892,0.0500291191041,0.0,-0.083632804071,0.0832245011557,-0.0736717389723,0.021356031335,-0.032513639369,0.02134571817,-0.0797792945907,0.0895029999916,-0.0329271649138,0.0467746796088,-0.0352469471465,-0.0861287925785,0.0487538626754,0.105661629952,0.0348477761855,0.0161014455782,0.0464279654351,0.0,0.119650640282,0.0,0.158655851284,0.11291374567,-0.0754527314691,0.041914337215,-0.066243111782
june,372,0.0525408542956,0.0482698017782,0.0112998657754,0.0014200392766,0.0788031593343,0.00163554128793,-0.0218077759789,0.0401430287616,0.0192779149545,-0.0274755076099,0.0231593267814,0.0180604587661,0.0142629669053,0.0368208461392,0.0027966121557,0.0136848060352,0.0869789716593,0.0527058606504,0.0615242704686,0.0304827207485,0.000983549205596,-0.0122421792217,0.032872935117,0.016452762519,-0.0285888341379,0.0397682674722,0.0495812950843,-0.0128124472275,-0.035818942764,0.0125855220477,0.0268761677913,0.0554618878116,0.0476474467217,0.0125060571322,-0.0509162329932,-0.00446674711472,0.0486794439292,-0.0154380781869,0.0237335292151,0.0632613427575,0.0384080506463,0.0154914587347,0.0913633555175,0.057238992461,0.0531794814172,0.100375566568,-0.00203664278802,0.0856713916403,0.0219381711262,0.0636860013972,0.0894985303854,-0.0201205277842,-0.0320858498119,0.0763012647901,0.0176031282758,0.0494082193475,0.0169687595412,0.0502833299744,-0.0203322149698,0.0489378258505,0.0341680703676,-0.0457518308459,0.0103435639961,0.0475947467346,-0.00132566852617,0.00568010130167,-0.0121744335944,0.0100297535643,0.0521162011959,0.0666721706873,0.00539483550286,0.0380174205935,-0.013266446933,0.0599312258209,0.0240276389599,-0.00847188992667,0.0505784153479,0.0189693501867,-0.0181797393158,0.0467763108216,0.099900805601,0.0188340289067,-0.00543089465153,0.0210835268776,-0.00624319821047,-0.00753105709666,0.0335150209964,0.123791491617,-0.0400599545574,-0.0148069363158,-0.0148352801892,-0.00753582884159,-0.0085194639367,0.00658563056163,0.0431083873174,0.0119167231341,0.0386173168747,-0.0192891720285,0.0880580541824,0.0
july,231,0.177350511102,0.22015155535,0.146500183424,-0.038333593933,0.0596107773947,-0.0171309865705,0.162511978534,0.0913220244295,0.0376027819963,-0.102860361179,-0.0196610600499,-0.0740969889769,-0.000752637615111,-0.0315909835754,0.134473873568,-0.0162869714413,0.0348910999602,0.1028688432,0.149552357354,-0.0447537047253,-0.0203476546309,-0.0717965949531,-0.0532918591443,-0.0722242291286,0.104382778897,0.0747994774426,0.0732842583479,0.164400802975,0.0213610480567,-0.0153230632051,0.140696120618,0.0101793085219,-0.0319521025903,-0.0690481051053,-0.0390786135941,0.00594802101602,0.0340560074378,-0.0671357056915,0.121488891758,0.0435863172591,0.00813634699469,0.0735886065469,0.0569979052342,-0.096476289213,0.00248676697833,0.0324819606262,0.144423783328,-0.0694093961705,0.158623458042,0.113623205159,0.016071320488,-0.0426817429617,-0.032134408023,-0.133029145942,-0.0568027371834,-0.00370151227697,0.00184117294372,0.0165156136527,-0.0910378541013,0.00600353657576,0.0162610912792,-0.0549999087218,0.00539983630289,-0.024368365818,0.07007840911,-0.0771544201441,0.131246706516,0.0790263045888,0.00633253668522,0.0931007951926,-0.0978399658916,-0.0372861298034,0.0923078359935,0.0479924743244,-0.0851925253938,0.063571214636,0.0705739458336,0.0258210805038,-0.024659587833,-0.0116290431556,0.0491664146712,-0.00607494600234,0.0238460626829,-0.0792792144046,0.0753517187624,-0.0704416699182,-0.0469276785451,0.185478565886,-0.0507259649903,-0.109714202395,-0.0637196953653,0.0,0.136801712149,-0.0896149564105,-0.0308652216018,0.124211393087,-0.0193850896553,-0.114376862576,-0.0354529163781,0.0
august,294,0.110431320145,0.127878706467,0.0904441051247,0.0893656707209,0.057318203846,0.0309168999643,0.0361685142017,0.0762380896888,0.0795257965846,0.053347829117,-0.0301318959626,-0.0880233817716,-0.0416029490817,-0.0674307057241,0.0424811448006,0.0482879918109,-0.00195175597339,-0.0273489182832,0.0390726628053,0.0268861264549,-0.0119737377391,-0.092554866405,0.0683653803763,-0.03367859124,-0.0101137527772,0.0521065842091,0.10011424976,-0.00556542213579,-0.0311845853969,0.02682940936,0.00771490909976,0.0291878026206,0.0135673622035,0.042906841149,0.000969665642991,0.0713116932093,0.0240933981102,0.00576208379571,0.120839809505,-0.0112633817702,0.0487020389609,0.00853001899718,0.0448491810164,0.00752060814369,-0.0501373320722,-0.0167122635642,0.0824595862516,-0.0883313446688,0.0653307843212,0.00220004193279,0.0315568406094,0.0167280763875,-0.0672014691465,0.0559650864834,-0.0209187245087,-0.0928592432271,0.11979505094,-0.0371615077471,-0.100008125867,0.0403835598024,-0.0522310215021,-0.0716417160639,-0.0406040482931,0.0659339580977,0.070850997033,0.00276859675385,0.114844435344,0.0186320202404,-0.017207389668,0.0614994492462,-0.0879855307457,0.0682365152325,0.0366559714909,0.0509813018766,-0.0548763483552,0.0497520342063,0.0922149057966,0.0488976321101,-0.0470271754471,0.00587206533499,0.0244836633697,0.0770085855216,-0.0112542242686,-0.0942348097163,-0.0411643904404,-0.049959161368,-0.054245354729,0.034369300377,-0.0679568668579,-0.0355518508648,0.0146326793821,0.0430410467307,0.0529597988124,0.00429019996831,-0.0466942346414,0.0729503314821,-0.0502410669963,-0.0892620249736,0.0321570126133,0.0
september,273,0.119963,0.0955011,0.0352682,-0.0383001,0.0254355,0.0321307,0.0438032,-0.0233813,0.0266715,0.0453587,-0.00677116,-0.0157203,0.0933241,0.0881998,0.0688969,0.0872203,0.0780675,0.104013,0.080391,-0.0308958,0.0126019,-0.0442954,0.0295743,-0.0251706,0.00781078,0.0565201,0.111388,0.115516,0.0695603,0.103024,0.102017,0.097314,0.0909862,0.00114074,-0.112201,0.0627123,0.0392577,0.113601,0.0410705,0.0901691,0.0973411,0.0766309,0.0887468,-0.0349907,0.0957887,0.0970562,0.0850286,-0.0168509,0.0839737,0.0700698,0.0460767,0.0722038,-0.0042355,-0.0053787,0.00611292,-0.0312137,-0.0313791,0.0606058,-0.0906262,0.0331813,0.122307,-0.12295,0.0631294,0.0995164,-0.0477477,-0.0438789,-0.10921,-0.0417497,0.0766792,0.0959574,-0.0107506,0.10521,0.0786582,0.115285,0.0663974,0.0865286,-0.0117888,-0.0592203,0.0103468,-0.0295936,0.0743676,0.00329888,-0.0150392,-0.0350943,-0.0260015,-0.0639612,0.0308378,0.184907,0.0332337,0.0823196,0.0578728,0.0528517,-0.03649,0.0724792,0.0827449,0.115388,0.0681957,0.0384884,-0.0221523,-0.054298
october,481,0.0725866861298,0.120198873645,0.0618959462488,-0.0564684565756,0.0768255463568,0.0289134291099,0.0338269343908,0.0689600655455,0.0528677195302,0.0340228117551,0.0394345417692,-0.00120605854454,0.0590246678351,0.00534061526498,0.0345319305449,-0.00065077932372,0.054744054492,0.101475123977,0.0655333669858,-0.0456785064935,0.00760302165615,-0.0218742129358,0.020542310573,-0.0479600964529,0.0434638372343,0.0307382131222,0.0906785777662,0.0383875246546,-0.00574070795438,0.0923996815821,0.0739625134315,0.00487994976253,0.012465046537,0.0142577576256,0.0192385222796,0.0319425478212,0.0259299813861,0.0483899622475,0.0870988436244,-0.0367072289221,0.0630581198835,0.0559571551082,0.113229278593,0.00488129295761,0.0698970380447,0.0972904577451,0.0532164242247,0.0184517008032,0.0518392767158,-0.0137556982789,0.0446815149599,0.0862318366438,-0.0207696925663,0.0484585850728,0.0102751005789,0.015749609019,0.0416576942969,-0.0498400063842,-0.0579899910206,0.0638727892012,0.0391300914985,0.011183736061,-0.0472664021468,0.0102162080218,-0.0334848379332,0.0413084939082,0.022439223183,0.0,-0.0502541872325,0.0180693832801,-0.031027184441,0.131494571266,0.0536654432776,0.0640626391629,0.041397269088,-0.00546274538089,0.0164304253404,0.041683860429,0.00684469021828,0.019594128976,0.00245651890068,-0.000554316617645,0.0609017119618,-0.0325359647422,0.0533693802977,0.0230718595558,0.070505928423,0.0985971120389,0.0146040164564,-0.0164859637937,-0.0291907745216,-0.0114851934671,0.0,0.067212647083,-0.051285460522,0.0584800876405,-0.0105242127895,-0.0696017688095,0.0476418009896,0.018077455986
november,479,0.0835961,0.20799,0.000862836,0.0403511,0.127328,0.07213,0.171196,0.0751228,0.0723447,-0.0142775,0.0956887,0.0482488,0.129576,0.154526,0.10052,0.101175,0.145815,0.19063,0.157271,-0.0962445,0.0330592,0.0552988,0.0683695,0.06994,0.0577049,0.0745416,0.147834,0.197767,0.0772188,0.11766,0.135439,0.0917852,0.0931507,0.00778412,-0.052176,0.0826474,-0.00971887,0.0515795,0.0901538,-0.0126773,0.0836697,0.0115296,0.182585,-0.0419233,0.0731869,0.130581,0.212346,0.106202,0.135847,0.0180546,-0.00887164,0.12918,0.150056,0.189396,0.0433393,0.0362386,0.143874,-0.0301551,-0.0784329,0.0170532,0.164866,-0.0942072,-0.0358101,0.124156,-0.0315998,0.129154,0.0338442,-0.00743026,0.0538124,0.146218,-0.0534268,0.144098,0.101191,0.0276838,-0.0206356,0.0712755,0.0711283,-0.0702734,0.0839306,-0.025965,0.196359,0.0103748,0.0106781,0.0687435,-0.0039897,-0.0852552,0.123393,0.233263,0.0663405,0.123248,0.0422081,-0.00738321,0.128395,0.0771115,0.0466409,0.223611,0.0349378,-0.0815165,0.129777,-0.0510481
december,296,0.178666703839,0.172970619375,0.110879720613,-0.101146643106,0.144442059514,0.0890915687673,0.134222437872,0.127826962464,0.12151217784,0.00687593182876,0.000811937809517,0.046322002621,0.117192280892,0.0514874404353,0.139240069373,0.127300902574,0.00971203132419,0.120360885398,0.0609460826003,-0.0255727493615,0.0528162384063,-0.000331841617997,0.058668544069,0.0707413658427,0.109506543241,-0.0118275196653,0.0874169511249,0.0842998292437,0.02145814569,0.114317464355,-0.00125722550208,0.145699242073,0.0270372630617,0.0396929656695,-0.122835898467,0.0977675722275,0.0133849595068,-0.0801667977659,0.0137288479259,0.0826073623364,0.088308461863,0.0118158535682,0.0440495992738,-0.11816145616,-0.070081011233,0.074809169058,0.127473343329,-0.0195995830177,0.140107332592,0.159834681113,0.098964041538,0.151998372448,-0.0167499267611,0.00701271907727,0.0592673307423,0.000804425435982,0.0743310709208,0.0910687636376,-0.0795859850192,0.00189208723424,0.0436262151759,-0.0790917836067,0.0625598075405,0.0978430806336,0.0259323043402,0.107059838978,0.0594459718985,0.10002137877,0.0321450569019,0.170030805958,0.0553864830052,-0.0653838252632,0.166388732828,0.0626397404236,0.0761183310915,0.0954475359552,0.00658456403274,-0.034731434187,0.0314304747272,0.0545426276311,0.134209349789,-0.0441852997824,0.00858804599114,0.0134415546323,-0.0978773017058,-0.0440289082234,0.12746361199,0.147842409297,-0.0881139402714,0.170197849088,0.00235358488346,0.0702340176391,0.0731465505655,0.0,0.0614006644268,0.165591499409,0.0129029883151,-0.0309332124559,0.0435589098347,0.0440606892072
